attr_path,forge_type,stored_hash,fetched_hash,hash_match,fetch_error,checked_at
python3Packages.hf-transfer,fetchFromGitHub,sha256-mcU3YuJVfuwBvtLfqceV3glcJcpjSX7M3VjvbvLCxZg=,sha256-mcU3YuJVfuwBvtLfqceV3glcJcpjSX7M3VjvbvLCxZg=,True,,2026-03-07T15:42:01.806124+00:00
python3Packages.hjson,fetchFromGitHub,sha256-VrCLHfXShF45IEhGVQpryBzjxreQEunyghazDNKRh8k=,sha256-VrCLHfXShF45IEhGVQpryBzjxreQEunyghazDNKRh8k=,True,,2026-03-07T15:42:02.325433+00:00
rhino,fetchFromGitHub,sha256-H8DbcRPMm4SKmGf40dXnjGeEbbj9COzdHgUIkcCimTM=,sha256-H8DbcRPMm4SKmGf40dXnjGeEbbj9COzdHgUIkcCimTM=,True,,2026-03-07T15:42:02.384792+00:00
rita,fetchFromGitHub,sha256-By0JvQ4LTm+NEnRMadE1x2PiiYqnJQCsF3Fy+gHulXs=,,,"error:
       … during download of 'https://github.com/activecm/rita/archive/refs/tags/v4.8.1.tar.gz'

       error: unable to download 'https://github.com/activecm/rita/archive/refs/tags/v4.8.1.tar.gz': HTTP error 404

       response body:

       404: Not Found",2026-03-07T15:42:02.754106+00:00
shelldap,fetchFromGitHub,sha256-67ttAXzu9pfeqjfhMfLMb9vWCXTrE+iUDCbamqswaLg=,,,"error:
       … during download of 'https://github.com/mahlonsmith/shelldap/archive/refs/tags/v1.5.1.tar.gz'

       error: unable to download 'https://github.com/mahlonsmith/shelldap/archive/refs/tags/v1.5.1.tar.gz': HTTP error 404

       response body:

       404: Not Found",2026-03-07T15:42:03.343002+00:00
smplayer,fetchFromGitHub,sha256-txGz6v9hkvnrmVmBHsi1B2eC/iNT1tg4dU5AcMsSCic=,sha256-txGz6v9hkvnrmVmBHsi1B2eC/iNT1tg4dU5AcMsSCic=,True,,2026-03-07T15:42:03.876376+00:00
softflowd,fetchFromGitHub,sha256-qWHwkXT1Lw8fe9nELaMB6EzAnNxsDvxiLWH3AacVZeA=,sha256-qWHwkXT1Lw8fe9nELaMB6EzAnNxsDvxiLWH3AacVZeA=,True,,2026-03-07T15:42:04.023772+00:00
sqlitebrowser,fetchFromGitHub,sha256-bpZnO8i8MDgOm0f93pBmpy1sZLJQ9R4o4ZLnGfT0JRg=,sha256-bpZnO8i8MDgOm0f93pBmpy1sZLJQ9R4o4ZLnGfT0JRg=,True,,2026-03-07T15:42:04.869009+00:00
superlu,fetchFromGitHub,sha256-MiQPhYIGZbvmtpIojrNzTG4Xao7lc4Ks/FtxlfdAKmQ=,sha256-OjCHMWEeGJMCucSkJZppnrz41nNLy1rrW6ItZSZUA9I=,False,,2026-03-07T15:42:04.892188+00:00
trezord,fetchFromGitHub,sha256-3I6NOzDMhzRyVSOURl7TjJ1Z0P0RcKrSs5rNaZ0Ho9M=,,,No fetch_url available,2026-03-07T15:42:04.920534+00:00
wifi-qr,fetchFromGitHub,sha256-tE+9bFDgiFS1Jj+AAwTMKjMh5wS5/gkRSQaCBR/riYQ=,sha256-tE+9bFDgiFS1Jj+AAwTMKjMh5wS5/gkRSQaCBR/riYQ=,True,,2026-03-07T15:42:04.920563+00:00
wifi-qr,fetchFromGitHub,sha256-tE+9bFDgiFS1Jj+AAwTMKjMh5wS5/gkRSQaCBR/riYQ=,sha256-tE+9bFDgiFS1Jj+AAwTMKjMh5wS5/gkRSQaCBR/riYQ=,True,,2026-03-07T15:42:05.522112+00:00
