attr_path,pname,version,forge_type,origin_url,owner,repo,rev,rev_type,hash,fetch_url
pyxel,pyxel,2.3.18,fetchFromGitHub,https://github.com/kitao/pyxel,kitao,pyxel,refs/tags/v2.3.18,tag,sha256-pw1ZDmQ7zGwfM98jjym34RbLmUbjuuUnCoPGczxdai8=,https://github.com/kitao/pyxel/archive/refs/tags/v2.3.18.tar.gz
q-text-as-data,q-text-as-data,2.0.19,fetchFromGitHub,https://github.com/harelba/q,harelba,q,2.0.19,tag,18cwyfjgxxavclyd08bmb943c8bvzp1gnqp4klkq5xlgqwivr4sv,https://github.com/harelba/q/archive/2.0.19.tar.gz
qcad,qcad,3.32.6.0,fetchFromGitHub,https://github.com/qcad/qcad,qcad,qcad,v3.32.6.0,tag,sha256-7PckPPD7CWd+IQWTLhr5+vizIjPpRdva2yDOyC6t0Uc=,https://github.com/qcad/qcad/archive/v3.32.6.0.tar.gz
qgit,qgit,2.13,fetchFromGitHub,https://github.com/tibirna/qgit,tibirna,qgit,qgit-2.13,tag,sha256-hOx6FYccutycp+F3iesj48STFeBM/2r5cw2f5FkBIjY=,https://github.com/tibirna/qgit/archive/qgit-2.13.tar.gz
qgroundcontrol,qgroundcontrol,4.4.5,fetchFromGitHub,https://github.com/mavlink/qgroundcontrol,mavlink,qgroundcontrol,refs/tags/v4.4.5,tag,sha256-wjrfwE97J+UzBPIARQ6cPadN6xIdqR8i+ZKbtiDproM=,
qjackctl,qjackctl,1.0.5,fetchFromGitHub,https://github.com/rncbc/qjackctl,rncbc,qjackctl,refs/tags/v1.0.5,tag,sha256-A4zoKqEO84kOfPwrkngv3EEXegCOs4QqFaS9KmgcKf4=,https://github.com/rncbc/qjackctl/archive/refs/tags/v1.0.5.tar.gz
qlcplus,qlcplus,5.0.0,fetchFromGitHub,https://github.com/mcallegari/qlcplus,mcallegari,qlcplus,QLC+_5.0.0,tag,sha256-gEwcTIJhY78Ts0lUn4MVciV7sPIBkqlxPMa9I1nTHO0=,https://github.com/mcallegari/qlcplus/archive/QLC+_5.0.0.tar.gz
qmplay2,qmplay2-qt6,25.09.11,fetchFromGitHub,https://github.com/zaps166/QMPlay2,zaps166,QMPlay2,refs/tags/25.09.11,tag,sha256-1F6VOTMJZ64PlIVSWoYzNz4LVmn5pEcUq+IfstYDwYo=,https://github.com/zaps166/QMPlay2/archive/refs/tags/25.09.11.tar.gz
qmplay2-qt5,qmplay2-qt5,25.09.11,fetchFromGitHub,https://github.com/zaps166/QMPlay2,zaps166,QMPlay2,refs/tags/25.09.11,tag,sha256-1F6VOTMJZ64PlIVSWoYzNz4LVmn5pEcUq+IfstYDwYo=,https://github.com/zaps166/QMPlay2/archive/refs/tags/25.09.11.tar.gz
qmplay2-qt6,qmplay2-qt6,25.09.11,fetchFromGitHub,https://github.com/zaps166/QMPlay2,zaps166,QMPlay2,refs/tags/25.09.11,tag,sha256-1F6VOTMJZ64PlIVSWoYzNz4LVmn5pEcUq+IfstYDwYo=,https://github.com/zaps166/QMPlay2/archive/refs/tags/25.09.11.tar.gz
qmqtt,qmqtt,1.0.4,fetchFromGitHub,https://github.com/emqx/qmqtt,emqx,qmqtt,v1.0.4,tag,sha256-cIzBnJdMFY25cWf1rBoRQx1G0/5S32igF8vcte+nyHI=,https://github.com/emqx/qmqtt/archive/v1.0.4.tar.gz
qovery-cli,qovery-cli,1.57.3,fetchFromGitHub,https://github.com/Qovery/qovery-cli,Qovery,qovery-cli,refs/tags/v1.57.3,tag,sha256-RjSpojVDmUIBYTKPiiFzbkUeena45nFNi/GhD14FbYY=,https://github.com/Qovery/qovery-cli/archive/refs/tags/v1.57.3.tar.gz
qpdf,qpdf,12.2.0,fetchFromGitHub,https://github.com/qpdf/qpdf,qpdf,qpdf,refs/tags/v12.2.0,tag,sha256-tzOZVQ/XO2mWNtz3mFTdrpdD2PvvCwje5nbEyiIkcZw=,https://github.com/qpdf/qpdf/archive/refs/tags/v12.2.0.tar.gz
qtscrcpy,qtscrcpy,3.3.3,fetchFromGitHub,https://github.com/barry-ran/QtScrcpy,barry-ran,QtScrcpy,refs/tags/v3.3.3,tag,sha256-UZgAFptVC67IXYdxTEmB18fJlFdaOrYrQY4JmdGEJXE=,
quantlib,quantlib,1.41,fetchFromGitHub,https://github.com/lballabio/QuantLib,lballabio,QuantLib,v1.41,tag,sha256-dHXITHP0SBrBXf5hrVhjSD4n2EtVvEkBDfE2NbT0/sc=,https://github.com/lballabio/QuantLib/archive/v1.41.tar.gz
quassel,quassel-kf5,0.14.0,fetchFromGitHub,https://github.com/quassel/quassel,quassel,quassel,0.14.0,tag,sha256-eulhNcyCmy9ryietOhT2yVJeJH+MMZRbTUo2XuTy9qU=,https://github.com/quassel/quassel/archive/0.14.0.tar.gz
quasselClient,quassel-client-kf5,0.14.0,fetchFromGitHub,https://github.com/quassel/quassel,quassel,quassel,0.14.0,tag,sha256-eulhNcyCmy9ryietOhT2yVJeJH+MMZRbTUo2XuTy9qU=,https://github.com/quassel/quassel/archive/0.14.0.tar.gz
