attr_path,pname,version,forge_type,origin_url,owner,repo,rev,rev_type,hash,fetch_url,altered_tag,sha_before_alteration,old_snap_timestamp,sha_after_alteration,alteration_detected_at
intel-ipsec-mb,intel-ipsec-mb,2.0.1,fetchFromGitHub,https://github.com/intel/intel-ipsec-mb,intel,intel-ipsec-mb,refs/tags/v2.0.1,tag,sha256-k/NoPMKbiWZ25tdomsPpv2gfhQuBHxzX6KRT1UY88Ko=,https://github.com/intel/intel-ipsec-mb/archive/refs/tags/v2.0.1.tar.gz,refs/tags/v2.0.1,swh:1:snp:4519eeb342e0c6cfd63a56e15c1ba23b3f02e446,1751486224,swh:1:snp:ecf47bedddfe65f8217fafe8643aa3fd4670bbbb,1754098212
ktimetracker,ktimetracker,6.0.0,fetchFromGitHub,https://github.com/KDE/ktimetracker,KDE,ktimetracker,refs/tags/v6.0.0,tag,sha256-SQjqNzmmt0AEQvGW4Vz5GldQcp7Q9rZvGG7mGugRwd8=,https://github.com/KDE/ktimetracker/archive/refs/tags/v6.0.0.tar.gz,refs/tags/v6.0.0,swh:1:snp:ba3ed19a3d295530fb42602da9babec24acba3f4,1745533770,swh:1:snp:cddea831193d1fc0e4165011534b751160f2e228,1750701507
libv3270,libv3270,5.5.0,fetchFromGitHub,https://github.com/PerryWerneck/libv3270,PerryWerneck,libv3270,refs/tags/5.5.0,tag,sha256-Cn/to1/7mH1Ygjcx12mMf52PTcz4smy/+bwWH1mbT9s=,https://github.com/PerryWerneck/libv3270/archive/refs/tags/5.5.0.tar.gz,refs/tags/5.5.0,swh:1:snp:408f44ad8ebabc3bb2af9de19828532ab8af10c9,1734188841,swh:1:snp:ba8ca04a1f63ede831117994f84f244121564323,1746081864
libv3270,libv3270,5.5.0,fetchFromGitHub,https://github.com/PerryWerneck/libv3270,PerryWerneck,libv3270,refs/tags/5.5.0,tag,sha256-Cn/to1/7mH1Ygjcx12mMf52PTcz4smy/+bwWH1mbT9s=,https://github.com/PerryWerneck/libv3270/archive/refs/tags/5.5.0.tar.gz,refs/tags/5.5.0,swh:1:snp:ba8ca04a1f63ede831117994f84f244121564323,1746081864,swh:1:snp:eb104de0372cd03469106e7f2c8663f8724a3abc,1756902355
medusa,medusa,2.3,fetchFromGitHub,https://github.com/jmk-foofus/medusa,jmk-foofus,medusa,refs/tags/2.3,tag,sha256-ftn5RBE3NYfjXLq8Gm92sbFW+M925BDuL/VmwfPYXpo=,https://github.com/jmk-foofus/medusa/archive/refs/tags/2.3.tar.gz,refs/tags/2.3,swh:1:snp:36fbc2f18b9b62e7e7d76968eed022f352c30c8e,1712175227,swh:1:snp:7e84d01e9fd3cb3befc422c4df216f2da92cba2e,1747647084
mingtest,mingtest,0.2.1,fetchFromGitHub,https://github.com/craflin/mingtest,craflin,mingtest,refs/tags/0.2.1,tag,sha256-buFr5w+3YJ2gJeQ8YTsFrUMU9hWq/iAJ6cW6ykvETfM=,https://github.com/craflin/mingtest/archive/refs/tags/0.2.1.tar.gz,refs/tags/0.2.1,swh:1:snp:d935ba74f0eac72b6afa32cdc32c8ca6fc131655,1728411097,swh:1:snp:b3e57d03661018f9e79e3042c4816e9183c8bd30,1730332673
ocamlPackages.landmarks,landmarks,1.5,fetchFromGitHub,https://github.com/LexiFi/landmarks,LexiFi,landmarks,refs/tags/v1.5,tag,sha256-eIq02D19OzDOrMDHE1Ecrgk+T6s9vj2X6B2HY+z+K8Q=,https://github.com/LexiFi/landmarks/archive/refs/tags/v1.5.tar.gz,refs/tags/v1.5,swh:1:snp:51cf2c389b8c246871da1b480aa38bdf8859fe5e,1737122494,swh:1:snp:f704be07c936abace95b762590ea007db739f015,1738616692
ocamlPackages.samplerate,samplerate,0.1.6,fetchFromGitHub,https://github.com/savonet/ocaml-samplerate,savonet,ocaml-samplerate,refs/tags/v0.1.6,tag,sha256-N3PSUSZ1tKNJcNPSgye6+8QQXcZIez72jk/YdNNOEUA=,https://github.com/savonet/ocaml-samplerate/archive/refs/tags/v0.1.6.tar.gz,refs/tags/v0.1.6,swh:1:snp:7cf23ad84c282632262b9e461940d86b920207cc,1627912376,swh:1:snp:316345fe6580ea5d91e918f1086ac78c50ce07d6,1639253227
omnisharp-roslyn,omnisharp-roslyn,1.39.14,fetchFromGitHub,https://github.com/OmniSharp/omnisharp-roslyn,OmniSharp,omnisharp-roslyn,refs/tags/v1.39.14,tag,sha256-yWrb+Ov1syKjeer7CxmGzkf9qUJxQ0IoIRfyIiO8eI8=,https://github.com/OmniSharp/omnisharp-roslyn/archive/refs/tags/v1.39.14.tar.gz,refs/tags/v1.39.14,swh:1:snp:e58404ed672332b73ec8c55b2d6792df62d53105,1753307280,swh:1:snp:6ab03a47d1c19fe3e143bce89a8ed9ca92cead47,1753546291
onlykey,onlykey,5.5.0,fetchFromGitHub,https://github.com/trustcrypto/OnlyKey-App,trustcrypto,OnlyKey-App,refs/tags/v5.5.0,tag,sha256-8MSdr+ghCBPeGp63Yi1T+gyEwXOEUW3vqi9CrCmozrw=,https://github.com/trustcrypto/OnlyKey-App/archive/refs/tags/v5.5.0.tar.gz,refs/tags/v5.5.0,swh:1:snp:2a40744b22accfbb0175f428593bb373a6acb556,1678860885,swh:1:snp:d38aba9f507ad3c55c220c4706167bc2683dca23,1680948922
